epoch,loss,lr,val_loss
0,0.00014882719551678747,1e-04,0.00014828301209490746
1,0.00010620400280458853,1e-04,4.287469346309081e-05
2,3.492066389298998e-05,1e-04,1.7548944015288725e-05
3,2.2638498194282874e-05,1e-04,1.2938595318701118e-05
4,1.652929131523706e-05,1e-04,1.0381860192865133e-05
5,9.65359231486218e-06,1e-04,9.991133993025869e-06
6,9.178842446999624e-06,1e-04,5.498488462762907e-06
7,3.7712579796789214e-06,1e-04,3.775682216655696e-06
8,2.2597494080400793e-06,1e-04,3.2139178074430674e-06
9,3.266958810854703e-05,1e-04,5.707607670046855e-06
10,2.9466655178111978e-06,1e-04,4.087370598426787e-06
11,1.7927586668520235e-06,1e-04,3.1345912248070817e-06
12,2.537927457524347e-06,1e-04,3.029835625056876e-06
13,1.489249370933976e-06,5e-05,2.745564870565431e-06
14,1.334623107140942e-06,5e-05,2.9197112780821044e-06
15,1.2774555671057897e-06,5e-05,2.4858777578629088e-06
16,1.2425344948496786e-06,5e-05,2.7029782359022647e-06
17,1.1934936310353805e-06,5e-05,2.8349709282338154e-06
18,1.1441707101766951e-06,5e-05,2.608158411021577e-06
19,1.1564720807655249e-06,5e-05,2.666742830115254e-06
20,1.0683230584618286e-06,2.5e-05,2.5985032152675558e-06
21,1.0185623295910773e-06,2.5e-05,2.6784357487485977e-06
22,1.0360964779465576e-06,2.5e-05,2.245699988634442e-06
23,1.0085304893436842e-06,2.5e-05,2.588328243291471e-06
24,9.99575604510028e-07,2.5e-05,2.4715236577321775e-06
25,9.679193908596062e-07,2.5e-05,2.4917046630434925e-06
26,9.72647285379935e-07,2.5e-05,2.4570936147938482e-06
27,9.456670682084223e-07,1.25e-05,2.2796823486714857e-06
28,9.323305221187184e-07,1.25e-05,2.849685870387475e-06
29,9.247240768672782e-07,1.25e-05,2.2339208953781053e-06
30,9.264244908990804e-07,1.25e-05,2.202840732934419e-06
31,9.170816497316991e-07,1.25e-05,2.3246443561220076e-06
32,9.014456736622378e-07,1.25e-05,2.329724793526111e-06
33,9.191398362418113e-07,1.25e-05,2.3481597963836975e-06
34,8.859471449795819e-07,6.25e-06,2.350749582546996e-06
35,8.881072517397115e-07,6.25e-06,2.2401359274226706e-06
36,8.811334737401921e-07,6.25e-06,2.457430582580855e-06
37,8.695184305906878e-07,6.25e-06,2.23975075641647e-06
38,8.995164648695209e-07,6.25e-06,2.4713867787795607e-06
39,8.999210194815532e-07,6.25e-06,2.5708529847179307e-06
40,8.86908026132005e-07,6.25e-06,2.1687055777874775e-06
41,8.604458798799897e-07,3.125e-06,2.3721026991552208e-06
42,8.588280593357922e-07,3.125e-06,2.3053912627801765e-06
43,8.730723948247032e-07,3.125e-06,2.360922735533677e-06
44,8.676237257532193e-07,3.125e-06,2.2430224362324225e-06
45,8.729455203138059e-07,3.125e-06,2.130155053237104e-06
46,8.737043231121788e-07,3.125e-06,2.4504927296220558e-06
47,8.602135039836867e-07,3.125e-06,2.5082404135901015e-06
48,8.645242814964149e-07,1.5625e-06,2.354467142140493e-06
49,8.422182986578264e-07,1.5625e-06,2.7533872071217047e-06
50,8.351013320861966e-07,1.5625e-06,2.400314770056866e-06
51,8.448685662187927e-07,1.5625e-06,2.256560946989339e-06
52,8.596140332883806e-07,1.5625e-06,2.282363311678637e-06
53,8.257813988166163e-07,1.5625e-06,2.304329655089532e-06
54,8.512357680956484e-07,1.5625e-06,2.3069533199304715e-06
55,8.308403494083905e-07,7.8125e-07,2.471656216584961e-06
56,8.475356025883229e-07,7.8125e-07,2.265538341816864e-06
57,8.403626452491153e-07,7.8125e-07,2.2661968159809476e-06
58,8.634135042484559e-07,7.8125e-07,2.2444296519097406e-06
59,8.324898317368934e-07,7.8125e-07,2.5770032152649947e-06
60,8.266878239737707e-07,7.8125e-07,2.5801302854233654e-06
61,8.377984954677231e-07,7.8125e-07,2.256623702123761e-06
62,8.626884664408863e-07,3.90625e-07,2.4669514004926896e-06
63,8.548984169465257e-07,3.90625e-07,2.2349208848027047e-06
64,8.42074314277852e-07,3.90625e-07,2.2229460228118114e-06
65,8.774782145337667e-07,3.90625e-07,2.8968863716727355e-06
