epoch,loss,lr,val_loss
0,0.00014416265184991062,1e-04,0.0001037768815876916
1,5.1029968744842336e-05,1e-04,2.0046802092110738e-05
2,2.302718348801136e-05,1e-04,2.421369390503969e-05
3,1.537526804895606e-05,1e-04,1.8063790776068345e-05
4,8.733368304092437e-06,1e-04,9.862626029644161e-06
5,3.5708296763914404e-06,1e-04,7.529136382800061e-06
6,3.625557383202249e-06,1e-04,7.281215857801726e-06
7,2.135020849891589e-06,1e-04,7.8800931078149e-06
8,2.3161933313531335e-06,1e-04,4.365359927760437e-06
9,1.783498419172247e-06,1e-04,4.576254923449596e-06
10,3.7452120977832237e-06,1e-04,3.4623029932845384e-05
11,9.368188329972327e-06,1e-04,8.646621608932037e-06
12,3.164885583828436e-06,1e-04,4.468368388188537e-06
13,1.6313241530951927e-06,1e-04,3.2707339414628223e-06
14,1.4125637335382635e-06,1e-04,3.425461272854591e-06
15,1.2316459105932154e-06,1e-04,3.346597395648132e-06
16,1.1741565231204731e-06,1e-04,3.477215386737953e-06
17,1.0543817552388646e-06,1e-04,3.2700343126634834e-06
18,1.0517302371226833e-06,1e-04,3.8054447486501886e-06
19,9.069991051546822e-07,5e-05,3.2543000543228118e-06
20,8.856014801494894e-07,5e-05,4.035037363792071e-06
21,8.791090522208833e-07,5e-05,4.054524652019609e-06
22,8.246533980127424e-07,5e-05,3.7280544802342774e-06
23,8.426990802945511e-07,5e-05,3.7027821235824376e-06
24,8.050135420489823e-07,5e-05,3.3477422221039888e-06
25,7.727354613962234e-07,5e-05,3.699692115333164e-06
26,7.521474003624462e-07,2.5e-05,2.912708168878453e-06
27,7.137749093999446e-07,2.5e-05,3.1364979804493487e-06
28,7.249176974255533e-07,2.5e-05,3.1276995287043974e-06
29,7.131604320420593e-07,2.5e-05,3.3171447739732685e-06
30,7.04725437117304e-07,2.5e-05,3.1385795864480315e-06
31,6.865282671242312e-07,2.5e-05,3.807485654760967e-06
32,7.05284890045732e-07,2.5e-05,3.337587713758694e-06
33,6.451612648561422e-07,1.25e-05,3.4607783163664863e-06
34,6.669556000815646e-07,1.25e-05,3.4861739095504163e-06
35,6.499118399005965e-07,1.25e-05,3.736049620783888e-06
36,6.483185188699281e-07,1.25e-05,3.747323262359714e-06
37,6.709301487717312e-07,1.25e-05,3.5367527289054124e-06
38,6.44950205241912e-07,1.25e-05,3.6439814721234143e-06
39,6.277534794207895e-07,1.25e-05,3.862264293275075e-06
40,6.296611445577582e-07,6.25e-06,3.350086672071484e-06
41,6.383111212926451e-07,6.25e-06,3.232621111237677e-06
42,6.245851409403258e-07,6.25e-06,3.5837897485180292e-06
43,6.264570515668311e-07,6.25e-06,3.3060041459975764e-06
44,6.301381745288381e-07,6.25e-06,3.93951268051751e-06
45,6.279021818045294e-07,6.25e-06,3.346187895658659e-06
46,6.293626029219013e-07,6.25e-06,2.9499408356059575e-06
