epoch,MultiInstanceConfmapsHead_loss,PartAffinityFieldsHead_loss,loss,lr,val_MultiInstanceConfmapsHead_loss,val_PartAffinityFieldsHead_loss,val_loss
0,0.0007194845238700509,0.001011985121294856,0.001731469645164907,1e-04,0.0006917688297107816,0.0010059967171400785,0.001697765663266182
1,0.0007083024247549474,0.001008662860840559,0.0017169656930491328,1e-04,0.0006134791183285415,0.000884273205883801,0.0014977522660046816
2,0.000681012577842921,0.0009736040374264121,0.0016546165570616722,1e-04,0.0007022045319899917,0.0010268582263961434,0.0017290625255554914
3,0.0006640636711381376,0.0009506421047262847,0.0016147057758644223,1e-04,0.0005840701633132994,0.0008829375728964806,0.0014670075615867972
4,0.0006399985286407173,0.0009245306719094515,0.0015645294915884733,1e-04,0.0006712939939461648,0.0010103570530191064,0.0016816509887576103
5,0.0006117326556704938,0.0008817438501864672,0.0014934764476493,1e-04,0.000652846647426486,0.0009606374660506845,0.0016134841134771705
6,0.0005912692286074162,0.0008426439017057419,0.0014339132467284799,1e-04,0.0005197781720198691,0.0007687656325288117,0.0012885438045486808
7,0.000551875215023756,0.0007856810698285699,0.0013375570997595787,1e-04,0.0005345106474123895,0.0007638820679858327,0.0012983926571905613
8,0.0005349827115423977,0.0007528921705670655,0.001287874300032854,1e-04,0.0005298287142068148,0.0007808703812770545,0.0013106989208608866
9,0.0005125579773448408,0.0007119924412108958,0.0012245499528944492,1e-04,0.0005409596487879753,0.0007483589579351246,0.001289318548515439
10,0.0004927553818561137,0.000676071853376925,0.0011688275262713432,1e-04,0.0004853360296692699,0.0006927958456799388,0.001178132020868361
11,0.0004641172708943486,0.0006342484266497195,0.0010983655229210854,1e-04,0.0005119684501551092,0.0007264789892360568,0.0012384474975988269
12,0.0004597205261234194,0.0006267970311455429,0.0010865177027881145,1e-04,0.00047068390995264053,0.0006597306346520782,0.0011304144281893969
13,0.0004245173477102071,0.0005802596569992602,0.0010047771502286196,1e-04,0.0004408377571962774,0.0006069433293305337,0.0010477809701114893
14,0.00041535694617778063,0.0005699813482351601,0.0009853380033746362,1e-04,0.0004574530175887048,0.0006505383644253016,0.0011079914402216673
15,0.0003967938246205449,0.0005491985357366502,0.000945992476772517,1e-04,0.0004250025376677513,0.0006028910866007209,0.0010278936242684722
16,0.00038117769872769713,0.0005306600942276418,0.0009118374437093735,1e-04,0.0004548449069261551,0.0006441872683353722,0.0010990321170538664
17,0.00036134719266556203,0.0005043139681220055,0.0008656613063067198,1e-04,0.0004023330402560532,0.0005630439263768494,0.0009653769666329026
18,0.0003608787665143609,0.0005067750462330878,0.0008676538709551096,1e-04,0.0004032697470393032,0.0005663069896399975,0.0009695766493678093
19,0.0003423295565880835,0.00048362623783759773,0.000825955590698868,1e-04,0.0003748765157070011,0.000541515473742038,0.0009163919603452086
20,0.000329299335135147,0.0004661991843022406,0.0007954987813718617,1e-04,0.00041508226422593,0.000598680111579597,0.0010137624340131879
21,0.00032207093317992985,0.00045635493006557226,0.0007784260087646544,1e-04,0.000419308606069535,0.0005984463496133685,0.0010177551303058863
22,0.0003163058718200773,0.0004520195652730763,0.0007683252333663404,1e-04,0.00047025183448567986,0.0006760906544514,0.001146342372521758
23,0.0002986020699609071,0.0004294023965485394,0.0007280046702362597,1e-04,0.000390406115911901,0.0005568710621446371,0.0009472771780565381
24,0.00029507471481338143,0.00042126100743189454,0.0007163358968682587,1e-04,0.0004165194113738835,0.0005962643772363663,0.0010127838468179107
25,0.00026333736605010927,0.00038598154787905514,0.0006493187975138426,5e-05,0.0003781287814490497,0.0005403890972957015,0.0009185178205370903
26,0.0002486991579644382,0.00036790603189729154,0.0006166051607578993,5e-05,0.0004379037709441036,0.0006045905174687505,0.0010424943175166845
27,0.00024150025274138898,0.00035705696791410446,0.0005985571187920868,5e-05,0.00042526485049165785,0.000589495524764061,0.0010147603461518884
28,0.00023157674877438694,0.0003456059203017503,0.0005771828582510352,5e-05,0.0004027848190162331,0.0005672778934240341,0.0009700626833364367
29,0.0002294327859999612,0.0003432317462284118,0.0005726644303649664,5e-05,0.00044711120426654816,0.0006189181003719568,0.001066029304638505
