epoch,Abdomen,Head,LForeFoot,LForeLeg,LHindFoot,LHindLeg,LMidFoot,LMidLeg,LowerThorax,Neck,Petiole,RForeFoot,RForeLeg,RHindFoot,RHindLeg,RMidFoot,RMidLeg,UpperThorax,loss,lr,val_Abdomen,val_Head,val_LForeFoot,val_LForeLeg,val_LHindFoot,val_LHindLeg,val_LMidFoot,val_LMidLeg,val_LowerThorax,val_Neck,val_Petiole,val_RForeFoot,val_RForeLeg,val_RHindFoot,val_RHindLeg,val_RMidFoot,val_RMidLeg,val_UpperThorax,val_loss
0,0.0035460861399769783,0.003410955658182502,0.003504025051370263,0.00347316637635231,0.003653518157079816,0.003553657094016671,0.0035938310902565718,0.003573913127183914,0.002932244911789894,0.0031028278172016144,0.003022260731086135,0.003488016314804554,0.003452764358371496,0.003637493122369051,0.0035864473320543766,0.0035941945388913155,0.0036018218379467726,0.0029867561534047127,0.0034285548608750105,1e-04,0.003320535644888878,0.0030644817743450403,0.003524762811139226,0.003398697357624769,0.0035663670860230923,0.003388996934518218,0.003545996267348528,0.003432895988225937,0.0019807058852165937,0.0024373724590986967,0.0023940056562423706,0.003481781342998147,0.00331484735943377,0.0035736162681132555,0.0034196493215858936,0.0036451383493840694,0.0034808253403753042,0.0021948418579995632,0.003175862366333604
1,0.0030058284755796194,0.0024195017758756876,0.003396017476916313,0.0030804823618382215,0.0036515642423182726,0.0033364619594067335,0.003567321691662073,0.003376583568751812,0.0017200803849846125,0.0019895813893526793,0.0021512112580239773,0.003335539950057864,0.0030988759826868773,0.003624636447057128,0.003343770047649741,0.003577994182705879,0.003406248753890395,0.0017242500325664878,0.0029892188031226397,1e-04,0.002558632753789425,0.0017207317287102342,0.0034480595495551825,0.002718589035794139,0.0036027012392878532,0.0032530101016163826,0.0036634125281125307,0.0033055078238248825,0.0010652808705344796,0.0014754848089069128,0.0017048215959221125,0.0032467034179717302,0.0024429999757558107,0.0036091601941734552,0.003297462360933423,0.003651741659268737,0.003286471124738455,0.0012490932131186128,0.0027388809248805046
2,0.002029854105785489,0.0014278106391429901,0.0031949400436133146,0.002447010250762105,0.003622555872425437,0.0030014037620276213,0.0035573490895330906,0.002911696908995509,0.0008901571272872388,0.001225859159603715,0.001133791753090918,0.003213557181879878,0.0024046963080763817,0.0036342034582048655,0.0030097246635705233,0.0035441722720861435,0.002982559846714139,0.0009611576679162681,0.0025106952525675297,1e-04,0.0015387135790660977,0.0009081353200599551,0.0031254265923053026,0.001995096681639552,0.003507430199533701,0.0026330917607992887,0.0034752998035401106,0.002428090199828148,0.0008428119472227991,0.0007694809464737773,0.0014416974736377597,0.0031640343368053436,0.002198919653892517,0.0035568010061979294,0.0025658777449280024,0.003566218540072441,0.002610416617244482,0.0006480019073933363,0.002276419196277857
3,0.0011698831804096699,0.0008356232428923249,0.0030506658367812634,0.0019975644536316395,0.003549495479092002,0.002207388635724783,0.0034076895099133253,0.002190764993429184,0.0005068359314464033,0.0006780114490538836,0.000643462291918695,0.00301936361938715,0.001995344879105687,0.00355522776953876,0.0021997815929353237,0.003461260814219713,0.0022675590589642525,0.0006137444288469851,0.002074981341138482,1e-04,0.0008629497606307268,0.0007838570745661855,0.002989595988765359,0.0018666995456442237,0.0033938013948500156,0.0018284416291862726,0.0033817761577665806,0.001837165211327374,0.000337443983880803,0.0006030823569744825,0.0004535965563263744,0.002965011168271303,0.0018254322931170464,0.0034732494968920946,0.0017931261099874973,0.0034104171209037304,0.001875992980785668,0.0005319846677593887,0.0019007570808753371
4,0.000794462685007602,0.0006723246769979596,0.0029446561820805073,0.0017898374935612082,0.0034012417308986187,0.0016862890915945172,0.003270922927185893,0.0017260224558413029,0.00040757484384812415,0.000496364024002105,0.0004576940555125475,0.0028767017647624016,0.0018408516189083457,0.0034107631072402,0.0016944683156907558,0.003242343896999955,0.0018388100434094667,0.0004932197043672204,0.0018358086235821247,1e-04,0.0006756446091458201,0.0007108811405487359,0.002853631041944027,0.0014532029163092375,0.0032451895531266928,0.0016290490748360753,0.0032014299649745226,0.001379718421958387,0.000330988725181669,0.0005311498534865677,0.0003963480412494391,0.002922369632869959,0.0018530584638938308,0.0033351434394717216,0.0016372924437746406,0.0032190275378525257,0.0018079144647344947,0.0004265869501978159,0.001756034791469574
5,0.0006140083423815668,0.0005361669464036822,0.0027675526216626167,0.001529962057247758,0.0031771084759384394,0.0014358139596879482,0.002987390384078026,0.0014308765530586243,0.0003373311192262918,0.0004061557992827147,0.0003661938535515219,0.0028239297680556774,0.0015699927462264895,0.003155878046527505,0.0014813645975664258,0.0030015779193490744,0.0015424743760377169,0.00039516182732768357,0.0016421634936705232,1e-04,0.0007790246163494885,0.0006473349640145898,0.0027986722998321056,0.0015316444914788008,0.0028918448369950056,0.0013811830431222916,0.0028288457542657852,0.0014271733816713095,0.00030489396885968745,0.0004084446409251541,0.0004148862499278039,0.0027138504665344954,0.0015112179098650813,0.0028595139738172293,0.001564081641845405,0.002880691085010767,0.0012807646999135613,0.0003716603387147188,0.0015886513283476233
6,0.0005597868585027754,0.00048106079339049757,0.002749135484918952,0.0015246015973389149,0.002867888892069459,0.0012959700543433428,0.0026582928840070963,0.0012995813740417361,0.00030413834610953927,0.0003459615691099316,0.000326823559589684,0.0027117824647575617,0.00144427758641541,0.0028562811203300953,0.001330699771642685,0.002695635426789522,0.0013528645504266024,0.00033201585756614804,0.0015075999544933438,1e-04,0.0005072139902040362,0.0006016578990966082,0.002875196747481823,0.0013857418671250343,0.002737206406891346,0.001270598848350346,0.0028097997419536114,0.001098792301490903,0.00027077962295152247,0.0006280894740484655,0.00031668521114625037,0.0026556223165243864,0.00146445631980896,0.0027136201970279217,0.0012987765949219465,0.0028153094463050365,0.0013254386140033603,0.0004029005649499595,0.0015098827425390482
7,0.0005178415449336171,0.0004605623544193804,0.0026804800145328045,0.0012975556310266256,0.002504104981198907,0.0011492567136883736,0.002422273624688387,0.0011587442131713033,0.00026882492238655686,0.0003262676182202995,0.00030278656049631536,0.002625151537358761,0.001365721458569169,0.002504143165424466,0.0011922577396035194,0.0023921357933431864,0.0011865110136568546,0.0003050261875614524,0.001369980862364173,1e-04,0.000588186492677778,0.0006197408074513078,0.0027576724532991648,0.001426705508492887,0.0023847853299230337,0.001168963615782559,0.0027340443339198828,0.0011496198130771518,0.00035146926529705524,0.0005272615235298872,0.0003734025522135198,0.0026778702158480883,0.0014459157828241587,0.002369639230892062,0.0013826953945681453,0.0029957741498947144,0.0013983634999021888,0.0003125285729765892,0.0014813689049333334
8,0.00044229638297110796,0.00039765940164215863,0.002545039402320981,0.0012178091565147042,0.002104345476254821,0.0010339980944991112,0.0022054417058825493,0.0009876167168840766,0.0002460882533341646,0.00027240169583819807,0.00025337949045933783,0.0024862803984433413,0.0012523273471742868,0.0020261509343981743,0.0009909194195643067,0.0021188585087656975,0.0009301313548348844,0.0002627510402817279,0.0012096385471522808,1e-04,0.0004357313155196607,0.0004455668677110225,0.0025238613598048687,0.001230729860253632,0.0019457218004390597,0.000959122262429446,0.002419959520921111,0.0009837360121309757,0.0002601970045361668,0.0003114237333647907,0.00030059521668590605,0.002434326335787773,0.0011489345924928784,0.002009460236877203,0.0010868650861084461,0.002221700269728899,0.000963219499681145,0.00026918365620076656,0.0012194631854072213
9,0.0004141070821788162,0.00037738174432888627,0.00240748911164701,0.001172441989183426,0.0017964078579097986,0.0009224619134329259,0.001964789815247059,0.0008930273470468819,0.00024101270537357777,0.0002721210476011038,0.00024601968470960855,0.002402204554527998,0.0011252198601141572,0.0018703993409872055,0.0009548367816023529,0.0019786504562944174,0.0009059347794391215,0.00025894292048178613,0.0011224141344428062,1e-04,0.00037865189369767904,0.0004958546487614512,0.0024671393912285566,0.0010743570746853948,0.0018899941351264715,0.0009478292195126414,0.002125347265973687,0.0009543188498355448,0.00026843170053325593,0.00028641012613661587,0.0002648330118972808,0.0024724130053073168,0.0012569227255880833,0.001886769779957831,0.001043009338900447,0.002332409843802452,0.0009958490263670683,0.00026834342861548066,0.001189382397569716
