epoch,Abdomen,Head,LForeFoot,LForeLeg,LHindFoot,LHindLeg,LMidFoot,LMidLeg,Lower_Thorax,Neck,Petiole,RForeFoot,RForeLeg,RHindFoot,RHindLeg,RMidFoot,RMidLeg,Upper_Thorax,loss,lr,val_Abdomen,val_Head,val_LForeFoot,val_LForeLeg,val_LHindFoot,val_LHindLeg,val_LMidFoot,val_LMidLeg,val_Lower_Thorax,val_Neck,val_Petiole,val_RForeFoot,val_RForeLeg,val_RHindFoot,val_RHindLeg,val_RMidFoot,val_RMidLeg,val_Upper_Thorax,val_loss
0,0.010173064656555653,0.007426643744111061,0.007444916758686304,0.009757855907082558,0.010102270171046257,0.010038385167717934,0.00943559780716896,0.010178258642554283,0.00851400662213564,0.008926798589527607,0.008476730436086655,0.006407101638615131,0.009793360717594624,0.010111689567565918,0.010024827904999256,0.009351463988423347,0.010248087346553802,0.008808285929262638,0.009178852662444115,1e-04,0.009548909962177277,0.006855970714241266,0.007559444755315781,0.009611453860998154,0.009394358843564987,0.009147392585873604,0.009889405220746994,0.00977913849055767,0.006677233148366213,0.0072759720496833324,0.006440338678658009,0.008007103577256203,0.009526994079351425,0.010496244765818119,0.009865276515483856,0.009332756511867046,0.009816157631576061,0.0070932176895439625,0.008684298023581505
1,0.008236654102802277,0.0060073500499129295,0.007266297470778227,0.009017528034746647,0.009883307851850986,0.008989657275378704,0.009411454200744629,0.00964159332215786,0.005333867855370045,0.006809713318943977,0.005165775306522846,0.006323339883238077,0.008993991650640965,0.009991739876568317,0.009178364649415016,0.00931579153984785,0.009736071340739727,0.006160062272101641,0.008081251755356789,1e-04,0.006472860928624868,0.00505550391972065,0.007101884111762047,0.009258311241865158,0.009218699298799038,0.008117926307022572,0.009851401671767235,0.00872084405273199,0.003327024867758155,0.005885026883333921,0.0027124849148094654,0.007984977215528488,0.00843031331896782,0.010431548580527306,0.009261036291718483,0.00953395664691925,0.008872141130268574,0.0038008280098438263,0.007446487434208393
2,0.005195850506424904,0.0039908625185489655,0.007076266687363386,0.008096681907773018,0.009665891528129578,0.008251840248703957,0.009229149669408798,0.008855490013957024,0.003306166036054492,0.004448619671165943,0.0031725801527500153,0.006101747043430805,0.008388087153434753,0.009763737209141254,0.008546150289475918,0.00925198383629322,0.009202010929584503,0.004024079535156488,0.007031511515378952,1e-04,0.004752988927066326,0.0026856239419430494,0.0072133769281208515,0.007999159395694733,0.008914351463317871,0.006866104900836945,0.009346500039100647,0.007856545969843864,0.002533601364120841,0.002631851239129901,0.0019111603032797575,0.007620575837790966,0.0074907694943249226,0.010231786407530308,0.008973933756351471,0.008995570242404938,0.00848767627030611,0.0021041862200945616,0.006478653755038977
3,0.0034524151124060154,0.00264510465785861,0.0067423307336866856,0.007269484922289848,0.009206266142427921,0.0076146600767970085,0.009061943739652634,0.008228438906371593,0.00257875001989305,0.002902714069932699,0.0025267242453992367,0.005965044721961021,0.007716232445091009,0.009228873997926712,0.007792471908032894,0.009008921682834625,0.008608808740973473,0.002951462985947728,0.006305592600256205,1e-04,0.004017522558569908,0.001187237212434411,0.006541719194501638,0.0065946332179009914,0.008716457523405552,0.0067414105869829655,0.009343523532152176,0.00738467276096344,0.0018535091076046228,0.0012167766690254211,0.001399425440467894,0.007197539322078228,0.006792471744120121,0.010134927928447723,0.0075395312160253525,0.00901710707694292,0.007984568364918232,0.001210087793879211,0.005826285108923912
4,0.002553150523453951,0.0019860221073031425,0.006448561325669289,0.006580772344022989,0.008750601671636105,0.0070600854232907295,0.008864049799740314,0.007705838419497013,0.002062596380710602,0.0021023142617195845,0.0019876156002283096,0.005734081845730543,0.007087486796081066,0.008697204291820526,0.006982419174164534,0.008743435144424438,0.007968772202730179,0.0022193209733814,0.005751908291131258,1e-04,0.0038011441938579082,0.0011877751676365733,0.006119627971202135,0.006180004216730595,0.008524182252585888,0.0065476917661726475,0.008992081508040428,0.006575229577720165,0.0020646622870117426,0.0013749133795499802,0.0017203378956764936,0.007114939857274294,0.007075079716742039,0.009750930592417717,0.007101763971149921,0.00892562698572874,0.00781874917447567,0.0013519646599888802,0.0056792618706822395
5,0.002005254616960883,0.001567765837535262,0.006154254544526339,0.006040466018021107,0.008224526420235634,0.006637269631028175,0.008679368533194065,0.007183633279055357,0.001753208925947547,0.0017184811877086759,0.0015997807495296001,0.005393987987190485,0.006382765248417854,0.00815887376666069,0.006343563552945852,0.008489768952131271,0.007408155128359795,0.0017792775761336088,0.005306687206029892,1e-04,0.002820985857397318,0.0014385151444002986,0.005875208880752325,0.0057488298043608665,0.00836044643074274,0.006468429695814848,0.008573140017688274,0.006218927446752787,0.002261244459077716,0.001595890847966075,0.0016201484249904752,0.0068490225821733475,0.006604066584259272,0.00918356142938137,0.006874142214655876,0.008556322194635868,0.007556622847914696,0.0013443011557683349,0.005441655870527029
6,0.0017501275287941098,0.0013383518671616912,0.005712768528610468,0.00544463936239481,0.007807299494743347,0.0061085098423063755,0.008484875783324242,0.006510652136057615,0.0015096577117219567,0.001401941874064505,0.0013925775419920683,0.0051836492493748665,0.005820645950734615,0.0077247656881809235,0.005640453193336725,0.008153515867888927,0.0066209700889885426,0.0015054169343784451,0.004895045887678862,1e-04,0.002850949065759778,0.0015782875707373023,0.005698144435882568,0.006068442016839981,0.008212381973862648,0.006572502665221691,0.00818085577338934,0.0058523002080619335,0.0021590921096503735,0.0016240145778283477,0.001627043355256319,0.0060888961888849735,0.005888211075216532,0.008676700294017792,0.006561674643307924,0.00821008998900652,0.007069985847920179,0.0014193484093993902,0.0052410513162612915
7,0.0015573898563161492,0.0011527460301294923,0.005356231704354286,0.005032922141253948,0.007438221015036106,0.005447387229651213,0.008145465515553951,0.00590676162391901,0.0013430028920993209,0.0012131186667829752,0.001190226525068283,0.004766734316945076,0.0051844315603375435,0.0074146767146885395,0.005012964829802513,0.007854609750211239,0.005869811866432428,0.0012751331087201834,0.004508991725742817,1e-04,0.002947648521512747,0.0008966157329268754,0.004819564986974001,0.004809971898794174,0.008027038536965847,0.005013506393879652,0.007691833656281233,0.005207208450883627,0.0016168258152902126,0.0008877181098796427,0.001300774165429175,0.005424232222139835,0.005161594599485397,0.008764753118157387,0.006006669718772173,0.008094469085335732,0.005300208926200867,0.0009470815421082079,0.004606539849191904
8,0.0013928102562204003,0.0010079880012199283,0.004903916735202074,0.004437917377799749,0.0069702924229204655,0.004672669339925051,0.007857274264097214,0.0051791369915008545,0.0011834906181320548,0.001091855694539845,0.0010025788797065616,0.004227071069180965,0.004530686419457197,0.007065833080559969,0.004373646806925535,0.007389181759208441,0.004918344784528017,0.0011017706710845232,0.004072582349181175,1e-04,0.002783162984997034,0.000786075193900615,0.004078657366335392,0.005376545246690512,0.008207551203668118,0.005224840249866247,0.006979748606681824,0.006089390721172094,0.0015045227482914925,0.000971758330706507,0.0012134602293372154,0.005012092180550098,0.005659945774823427,0.00788420531898737,0.005689156241714954,0.007087778300046921,0.005435091909021139,0.0010393038392066956,0.004501293879002333
9,0.0012712926836684346,0.000959946250077337,0.0044324216432869434,0.004139163065701723,0.00662847887724638,0.00403513852506876,0.007319130934774876,0.004644854925572872,0.001181101775728166,0.0010200774995610118,0.001047538942657411,0.0038587586022913456,0.004181569907814264,0.006857534870505333,0.003946844954043627,0.006913309451192617,0.004418672528117895,0.0011027954751625657,0.0037754785735160112,1e-04,0.0026213147211819887,0.0007179116946645081,0.004353595431894064,0.0040184804238379,0.006852591410279274,0.004440664313733578,0.006273168604820967,0.004658927209675312,0.0015518786385655403,0.0008098036632873118,0.0010750938672572374,0.0038949137087911367,0.004739999305456877,0.008081447333097458,0.004917509388178587,0.006979914847761393,0.005018102470785379,0.0007683489820919931,0.003987425938248634
