epoch,loss,lr,val_loss
0,0.0009459342109039426,1e-04,0.0008181004668585956
1,0.0008766220416873693,1e-04,0.0008011697791516781
2,0.0008249874226748943,1e-04,0.0007433700957335532
3,0.000759055488742888,1e-04,0.0006666930275969207
4,0.0006970441900193691,1e-04,0.0007211865158751607
5,0.0006320771644823253,1e-04,0.0006504878983832896
6,0.0005818852223455906,1e-04,0.0006366122397594154
7,0.0004985753912478685,1e-04,0.0006460985168814659
8,0.00044813010026700795,1e-04,0.0006399854901246727
9,0.00035926210694015026,1e-04,0.0006833275547251105
10,0.00028815289260819554,1e-04,0.000633835035841912
11,0.00022227558656595647,1e-04,0.0006234919419512153
12,0.0001931729493662715,1e-04,0.0006820122362114489
13,0.0001535549818072468,1e-04,0.0006766815786249936
14,0.00012899041757918894,1e-04,0.0006871966179460287
15,0.00011344700760673732,1e-04,0.0006599941407330334
16,8.96518467925489e-05,1e-04,0.0006659469800069928
17,6.441736331908032e-05,5e-05,0.0006630613352172077
18,5.277379386825487e-05,5e-05,0.0006586587405763566
19,4.539520159596577e-05,5e-05,0.0006735935457982123
20,4.38391107309144e-05,5e-05,0.0007003817008808255
21,4.0187223930843174e-05,5e-05,0.0006812339997850358
22,3.77675642084796e-05,5e-05,0.0006610270938836038
23,3.7198922655079514e-05,5e-05,0.0006930058007128537
24,3.2768242817837745e-05,2.5e-05,0.0006975239957682788
25,2.9837428883183748e-05,2.5e-05,0.0006718095974065363
26,3.0046070605749264e-05,2.5e-05,0.0006513352273032069
27,2.69018182734726e-05,2.5e-05,0.0006865558680146933
28,2.5648882001405582e-05,2.5e-05,0.000649833120405674
29,2.4419934561592527e-05,2.5e-05,0.0006892344099469483
30,2.4063427190412767e-05,2.5e-05,0.0006797336391173303
31,2.195816341554746e-05,1.25e-05,0.0006640683277510107
