epoch,loss,lr,val_loss
0,0.0008831386221572757,1e-04,0.000667451648041606
1,0.0006680844235233963,1e-04,0.0005127639742568135
2,0.0005625234916806221,1e-04,0.0004676712560467422
3,0.0004730925429612398,1e-04,0.00041625165613368154
4,0.00043888913933187723,1e-04,0.00034455640707165003
5,0.0003939357411582023,1e-04,0.0003572844434529543
6,0.00036670773988589644,1e-04,0.00034731123014353216
7,0.0003298716328572482,1e-04,0.00038258920540101826
8,0.0003114360151812434,1e-04,0.0003283859696239233
9,0.0002614650293253362,1e-04,0.0003163783112540841
10,0.00024224407388828695,1e-04,0.0003527655790094286
11,0.00022893871937412769,1e-04,0.00034029557718895376
12,0.00020193634554743767,1e-04,0.0003079238813370466
13,0.00018443918088451028,1e-04,0.0003312015032861382
14,0.00015247645205818117,1e-04,0.00041068950667977333
15,0.0001469357666792348,1e-04,0.0003745373396668583
16,0.00011671044194372371,1e-04,0.0003456882550381124
17,0.00011786226241383702,1e-04,0.0003190328716300428
18,7.855996227590367e-05,5e-05,0.0003598946495912969
19,6.820839189458638e-05,5e-05,0.00035743217449635267
20,6.187290273373947e-05,5e-05,0.0003511144022922963
21,5.796431651106104e-05,5e-05,0.00038937892531976104
22,5.9004487411584705e-05,5e-05,0.00037766987225040793
23,5.735254308092408e-05,5e-05,0.0003454414545558393
24,4.4957134377909824e-05,5e-05,0.0003416479448787868
25,3.706913776113652e-05,2.5e-05,0.0003587100363802165
26,3.6194473068462685e-05,2.5e-05,0.00035816835588775575
27,3.582754288800061e-05,2.5e-05,0.00033984443871304393
28,3.197431215085089e-05,2.5e-05,0.00036526418989524245
29,3.131138873868622e-05,2.5e-05,0.00035417938488535583
30,2.9532557164202444e-05,2.5e-05,0.0004012976714875549
31,2.9556469598901458e-05,2.5e-05,0.0003678430803120136
32,2.6692088795243762e-05,1.25e-05,0.0003642742522060871
