epoch,loss,lr,val_loss
0,0.00015001364226918668,1e-04,0.00013719868729822338
1,0.00014313652354758233,1e-04,0.00014225920313037932
2,9.013886301545426e-05,1e-04,3.601711432565935e-05
3,2.4881028366507962e-05,1e-04,3.1445641070604324e-05
4,1.5037891898828093e-05,1e-04,2.489605321898125e-05
5,1.3603106708615087e-05,1e-04,3.090410245931707e-05
6,8.091669769783039e-06,1e-04,1.608593993296381e-05
7,8.434873052465264e-06,1e-04,1.3664712241734378e-05
8,7.533636562584434e-06,1e-04,9.692606909084134e-06
9,7.920761163404677e-06,1e-04,1.8751570678432472e-05
10,2.954304136437713e-06,1e-04,8.93137348612072e-06
11,2.9069644824630814e-06,1e-04,5.231385330262128e-06
12,1.8762856370813097e-06,1e-04,5.8048499340657145e-06
13,1.7387064872309566e-06,1e-04,5.236684046394657e-06
14,1.7076116591852042e-06,1e-04,7.001515768934041e-06
15,1.5326481843658257e-06,1e-04,4.7033513510541525e-06
16,1.4680595086247195e-06,1e-04,4.581600478559267e-06
17,1.227389475388918e-06,5e-05,5.40634664503159e-06
18,1.1769411685236264e-06,5e-05,3.150058091705432e-06
19,1.1608982504185406e-06,5e-05,2.9596244530694094e-06
20,1.1720645716195577e-06,5e-05,4.4227226680959575e-06
21,1.1062597877753433e-06,5e-05,3.2674427075107815e-06
22,1.1214734740860877e-06,5e-05,3.0169092042342527e-06
23,1.044970417751756e-06,5e-05,2.4355256300623296e-06
24,9.78946218310739e-07,2.5e-05,3.843418653559638e-06
25,9.764793276190176e-07,2.5e-05,4.029928277304862e-06
26,9.56362669057853e-07,2.5e-05,3.667203827717458e-06
27,9.553771178616444e-07,2.5e-05,2.9389489100140054e-06
28,9.41688711009192e-07,2.5e-05,2.7522180516825756e-06
29,9.239254836757027e-07,2.5e-05,3.03791739497683e-06
30,9.148214985543746e-07,2.5e-05,3.4595082070154604e-06
31,8.643767728244711e-07,1.25e-05,2.9215400445536943e-06
32,8.647277240925177e-07,1.25e-05,3.4401116408844246e-06
33,8.707244774086575e-07,1.25e-05,3.0602691367676016e-06
34,8.480341762151511e-07,1.25e-05,3.795535576500697e-06
35,8.276940661744447e-07,1.25e-05,3.565962742868578e-06
36,8.57360419104225e-07,1.25e-05,3.335268047521822e-06
37,8.202878802876512e-07,1.25e-05,3.243677156206104e-06
38,8.48708054945746e-07,6.25e-06,3.5344596653885674e-06
39,8.124636678985553e-07,6.25e-06,2.8602198653970845e-06
40,8.123240036184143e-07,6.25e-06,3.504648020680179e-06
41,8.078112045950547e-07,6.25e-06,2.638445721458993e-06
42,8.264466373475443e-07,6.25e-06,4.090466063644271e-06
43,8.213607429752301e-07,6.25e-06,3.3077765237976564e-06
