epoch,Abdomen,Head,LForeFoot,LForeLeg,LHindFoot,LHindLeg,LMidFoot,LMidLeg,LowerThorax,Neck,Petiole,RForeFoot,RForeLeg,RHindFoot,RHindLeg,RMidFoot,RMidLeg,UpperThorax,loss,lr,val_Abdomen,val_Head,val_LForeFoot,val_LForeLeg,val_LHindFoot,val_LHindLeg,val_LMidFoot,val_LMidLeg,val_LowerThorax,val_Neck,val_Petiole,val_RForeFoot,val_RForeLeg,val_RHindFoot,val_RHindLeg,val_RMidFoot,val_RMidLeg,val_UpperThorax,val_loss
0,0.0018482013838365674,0.0018063889583572745,0.0018728430150076747,0.0018782883416861296,0.0019134636968374252,0.0018991935066878796,0.0018892347579821944,0.00190050492528826,0.0016690471675246954,0.0017301113111898303,0.0017548803007230163,0.0018602597992867231,0.0018794635543599725,0.001909668673761189,0.0019018474267795682,0.0019040900515392423,0.001908582984469831,0.0016419972525909543,0.0018426704918965697,1e-04,0.0016159407095983624,0.0017465364653617144,0.001888115657493472,0.0018500779988244176,0.001898702117614448,0.0018402308924123645,0.0018710590666159987,0.0018044780008494854,0.0013588585425168276,0.0015907585620880127,0.0016376432031393051,0.0018412162316963077,0.0018242355436086655,0.0019088608678430319,0.0018629822880029678,0.0018962012836709619,0.0017969364998862147,0.0014240387827157974,0.0017587151378393173
1,0.0011265762150287628,0.0011909686727449298,0.0018294762121513486,0.0017295486759394407,0.0018738616490736604,0.0016542010707780719,0.0018538283184170723,0.001755481818690896,0.000919950834941119,0.0009612334542907774,0.000968409760389477,0.001823253114707768,0.0017159180715680122,0.0018618330359458923,0.0016786103369668126,0.0018497646087780595,0.0017423090757802129,0.000913594092708081,0.0015249341959133744,1e-04,0.0009082991164177656,0.0012014168314635754,0.0018186954548582435,0.0015521490713581443,0.0018535006092861295,0.0015662609366700053,0.0017868044087663293,0.001508064684458077,0.0010119981598109007,0.0009454161045141518,0.0008401740924455225,0.0017977782990783453,0.0015802803682163358,0.001816058880649507,0.0015609109541401267,0.001834507449530065,0.001565817859955132,0.0008031228790059686,0.0014417364727705717
2,0.0006565876537933946,0.0009025800973176956,0.001696890452876687,0.0012493112590163946,0.0017650488298386335,0.0012893298408016562,0.001770683447830379,0.0013562714448198676,0.0005522905848920345,0.0005664356867782772,0.00043947939411737025,0.0016938743647187948,0.0012388367904350162,0.001768343267031014,0.0013209973694756627,0.001780971884727478,0.0013972667511552572,0.0005161741282790899,0.0012200766941532493,1e-04,0.000722051365301013,0.0010680955601856112,0.0016889657126739621,0.0010587116703391075,0.0016979982610791922,0.0011666723294183612,0.001731838914565742,0.0011605041800066829,0.0006039926665835083,0.000617549812886864,0.000512833648826927,0.0016372085083276033,0.0009758229716680944,0.001707721152342856,0.0012014125240966678,0.0017127881292253733,0.0011321125784888864,0.0004890133277513087,0.0011602940503507853
3,0.0005786638357676566,0.0008256834698840976,0.00158399879001081,0.0009901818120852113,0.001670132507570088,0.0011360381031408906,0.0016916875028982759,0.0010737283155322075,0.0004596312064677477,0.00047792430268600583,0.00038657718687318265,0.00156433938536793,0.0009685131371952593,0.0016690549673512578,0.001174862845800817,0.001696204417385161,0.0010872314451262355,0.00041778801823966205,0.0010806805221363902,1e-04,0.00048708380199968815,0.000946829910390079,0.0015874211676418781,0.0009618763579055667,0.0015770463505759835,0.001026276731863618,0.0016571044689044356,0.0010163491824641824,0.0004500041250139475,0.0005309131229296327,0.0004103087994735688,0.001585268066264689,0.0009147468372248113,0.0016637700609862804,0.0010471835266798735,0.0016724251909181476,0.0009465657058171928,0.0004121877427678555,0.001049631042405963
4,0.0004600359534379095,0.0007259414414875209,0.0014694208512082696,0.0008196330163627863,0.0015472237719222903,0.0009617616306059062,0.0016136185731738806,0.0008440130040980875,0.00033703105873428285,0.000377992371795699,0.0002889011811930686,0.0014372823061421514,0.000783939438406378,0.0015628408873453736,0.0009761513210833073,0.0016178033547475934,0.0008355602622032166,0.00030706790857948363,0.0009425677708350122,1e-04,0.0005364948301576078,0.0007876133313402534,0.0015226382529363036,0.0007640189724043012,0.0014214263064786792,0.0008631265955045819,0.001545773702673614,0.0007559893419966102,0.0003823278530035168,0.0004139869997743517,0.00032935620401985943,0.0014550104970112443,0.0008205295889638364,0.001541921286843717,0.0009458085405640304,0.0015530972741544247,0.0007490239222534001,0.00030216420418582857,0.000927239132579416
5,0.0004279924323782325,0.0006895236438140273,0.0013580569066107273,0.0007060696370899677,0.0013669829349964857,0.0008391774608753622,0.0015535777201876044,0.0007318886346183717,0.000309459661366418,0.0003565048682503402,0.00026032072491943836,0.001340370741672814,0.0007226905436255038,0.0013572467723861337,0.0008587625925429165,0.0015565094072371721,0.0007242784486152232,0.00027269695419818163,0.0008573398226872087,1e-04,0.0004437389434315264,0.0007504903478547931,0.0014219610020518303,0.0007835261058062315,0.0015126416692510247,0.000961813610047102,0.0015596100129187107,0.0008453506743535399,0.0004185350553598255,0.0004176441580057144,0.0003486004425212741,0.0014411585871130228,0.0008483335841447115,0.0014439243823289871,0.0010664063738659024,0.0016120190266519785,0.000960310164373368,0.0003457458224147558,0.0009545451030135155
6,0.0004211629566270858,0.0006285370909608901,0.001269930973649025,0.0006539174355566502,0.0012233699671924114,0.000768543453887105,0.001499315956607461,0.0006634092424064875,0.00029133528005331755,0.0003309273743070662,0.0002601314627099782,0.0012504701735451818,0.0006670732982456684,0.0012312852777540684,0.0007908929255791008,0.0015177266905084252,0.0006993079441599548,0.00024540512822568417,0.0008007076685316861,1e-04,0.0003935094573535025,0.000705694139469415,0.0013820759486407042,0.0007580178789794445,0.001260650111362338,0.0007755096303299069,0.0015020138816908002,0.0006934389821253717,0.00033997520222328603,0.0003476440906524658,0.00027947689522989094,0.0012484969338402152,0.0007042471552267671,0.0012235176982358098,0.0007283826125785708,0.0013510107528418303,0.0007334789261221886,0.0002748184197116643,0.0008167753112502396
7,0.0003840971039608121,0.0005695376312360168,0.0011828786227852106,0.0005998483975417912,0.001133785001002252,0.0007150000310502946,0.0014330374542623758,0.0006210793508216739,0.0002720733464229852,0.00031414517434313893,0.00024133629631251097,0.001146686146967113,0.0006232583546079695,0.001120611559599638,0.0007223179563879967,0.001451484626159072,0.0006203617085702717,0.0002247415395686403,0.000743126729503274,1e-04,0.00043285617721267045,0.000688730098772794,0.0012444064486771822,0.0006931861862540245,0.0012523987097665668,0.0007230600458569825,0.0014359396882355213,0.0007083872915245593,0.00035008182749152184,0.0003630673454608768,0.00035126987495459616,0.0012124740751460195,0.0006616319296881557,0.0011650542728602886,0.0007785767666064203,0.0013711426872760057,0.000670582172460854,0.00026061292737722397,0.0007979696965776384
8,0.00035320917959325016,0.0005527117755264044,0.0010791643289849162,0.0005742623470723629,0.001070863101631403,0.000688759027980268,0.0013779547298327088,0.0005858037038706243,0.00027351293829269707,0.0002948157489299774,0.0002357519551878795,0.0010982619132846594,0.0005948480102233589,0.0010527382837608457,0.0006653097225353122,0.0014051925390958786,0.0006017611594870687,0.00022325088502839208,0.0007071205182000995,1e-04,0.00033900910057127476,0.0005182056920602918,0.001214182237163186,0.0005644886987283826,0.0010138284415006638,0.0006460131844505668,0.0013248729519546032,0.0005990549689158797,0.0002774665772449225,0.0002575827529653907,0.00024248090630862862,0.0010890528792515397,0.0006138519966043532,0.0010389595991000533,0.0006104694912210107,0.0012869576457887888,0.0005238360026851296,0.00020303674682509154,0.000686852668877691
9,0.00034906217479147017,0.0005318280891515315,0.0010392722906544805,0.0005575974355451763,0.001015472924336791,0.0006412459188140929,0.0013264933368191123,0.0005814372561872005,0.0002594839024823159,0.000303394888760522,0.00022544745297636837,0.0010270985076203942,0.0005594391259364784,0.0009731432073749602,0.0006645690300501883,0.0013050655834376812,0.000565641385037452,0.0002188287617173046,0.0006746957078576088,1e-04,0.00040360615821555257,0.0006891301018185914,0.001145952963270247,0.0006836953107267618,0.0010662010172381997,0.0007329818909056485,0.0013001393526792526,0.0006165115046314895,0.0003451129887253046,0.0003752144402824342,0.00032606101012788713,0.0010831159306690097,0.0006320246029645205,0.001013109809719026,0.0006614000303670764,0.0012567510129883885,0.0006100953323766589,0.000281377142528072,0.0007345823105424643
10,0.00032263886532746255,0.0005057842354290187,0.000970325549133122,0.0005318277981132269,0.000952204572968185,0.000610293005593121,0.0012712733587250113,0.0005519951810128987,0.0002363990352023393,0.0002864082343876362,0.00021617987658828497,0.0009520313469693065,0.0005359301576390862,0.0009333025082014501,0.0006195568712428212,0.001235556323081255,0.0005403764080256224,0.0002011963806580752,0.0006374040967784822,1e-04,0.0003469925723038614,0.0005508759641088545,0.0011109499027952552,0.0006352977943606675,0.0009555260767228901,0.0006664563552476466,0.0011647794162854552,0.0005347369005903602,0.0002924167492892593,0.00039231491973623633,0.00028615884366445243,0.0009513029363006353,0.0005865948041900992,0.0009486456983722746,0.0006845324533060193,0.0011481153778731823,0.0005750167183578014,0.00025518861366435885,0.0006714389892295003
11,0.00034376513212919235,0.00048354099271818995,0.0009206404793076217,0.0005345945246517658,0.0009135152213275433,0.0005874188500456512,0.0011933110654354095,0.0005180329899303615,0.0002506558666937053,0.00028938252944499254,0.00022715242812409997,0.000918676087167114,0.0005161300068721175,0.000931600749026984,0.0006168513209559023,0.0011860639788210392,0.0005392220919020474,0.00020240971934981644,0.0006207199767231941,1e-04,0.0003451139200478792,0.0005267594824545085,0.0009426681790500879,0.0005802250234410167,0.0008744182414375246,0.0006325861904770136,0.0010539016220718622,0.0005714418366551399,0.00029375249869190156,0.0003059660957660526,0.00025752585497684777,0.0009105392964556813,0.0005605148617178202,0.0008934874786064029,0.0005576524999924004,0.0011102360440418124,0.0005242883344180882,0.00022894865833222866,0.0006205568788573146
12,0.00032807892421260476,0.0004549839359242469,0.0008441141108050942,0.0004666483437176794,0.0008505000150762498,0.000573042721953243,0.001094673527404666,0.0004952488816343248,0.00023149755725171417,0.00026318736490793526,0.00020579321426339447,0.0008895006030797958,0.0005162092274986207,0.0008727391832508147,0.0005616009584628046,0.0011416770284995437,0.000521311885677278,0.0001863032957771793,0.0005831728340126574,1e-04,0.0003388257755432278,0.0006653486634604633,0.001042642630636692,0.000586035312153399,0.0009426275501027703,0.0007420952897518873,0.001072868937626481,0.0006277803331613541,0.0003010269720107317,0.00033520886790938675,0.00022359196736942977,0.0010254740482196212,0.0005919767427258193,0.0009446308831684291,0.0005403263494372368,0.0010918827028945088,0.0005361441290006042,0.0002687973319552839,0.000659849145449698
13,0.0003050269151572138,0.0004384828789625317,0.0008105573360808194,0.0004706108884420246,0.000813922903034836,0.0005376894841901958,0.0010640783002600074,0.000483000127132982,0.00021819745597895235,0.00025433377595618367,0.0001926374388858676,0.0008365762187168002,0.0004713155794888735,0.0008525567827746272,0.0005433145561255515,0.0010711696231737733,0.00047740168520249426,0.00017984419537242502,0.0005567060434259474,1e-04,0.0003638369089458138,0.0005630597588606179,0.0010336581617593765,0.0005798166384920478,0.0009601310011930764,0.0006963223568163812,0.0011267405934631824,0.0005418704240582883,0.0003258581564296037,0.0003330591425765306,0.00026929163141176105,0.0008751738932915032,0.0005537742981687188,0.0008674852433614433,0.0005690479301847517,0.0010850707767531276,0.0005865918355993927,0.00026448839344084263,0.0006441819132305682
14,0.0003005314792972058,0.00042202408076263964,0.0008154716924764216,0.00044945249101147056,0.000811462989076972,0.0005393589963205159,0.0010525191901251674,0.0004829575482290238,0.00020879626390524209,0.00026278255973011255,0.00018241815268993378,0.0007910326821729541,0.0004897572798654437,0.0008075162186287344,0.0005164486938156188,0.0010131151648238301,0.00046593547449447215,0.00018746205023489892,0.0005443913396447897,1e-04,0.00039867067243903875,0.0005786136607639492,0.0008976166718639433,0.0006489040679298341,0.0008943703141994774,0.000602771935518831,0.0010980587685480714,0.0006274185725487769,0.0003612830478232354,0.00042814467451535165,0.00030280635110102594,0.0009650175925344229,0.0006156671443022788,0.000896980578545481,0.0006833653897047043,0.0009950348176062107,0.000571229902561754,0.0003270094166509807,0.000660720223095268
15,0.00029781696503050625,0.0004254844388924539,0.0007703205919824541,0.00044496296322904527,0.0008102559368126094,0.0005198766011744738,0.0010047592222690582,0.0004679584817495197,0.0002200283925049007,0.00026500478270463645,0.00018927846394944936,0.0007884841179475188,0.00047446793178096414,0.000771163497120142,0.0005095700034871697,0.00099565414711833,0.0004619873652700335,0.00018333883781451732,0.0005333562730811536,1e-04,0.0003272313333582133,0.000518783344887197,0.000840606342535466,0.000520291505381465,0.0008065139991231263,0.0005261373589746654,0.0010473631555214524,0.0005770080024376512,0.00029695811099372804,0.00027700408827513456,0.0002443317789584398,0.0008512047934345901,0.0005310926935635507,0.0007694446248933673,0.0006333335186354816,0.0009545665816403925,0.0005133870872668922,0.00022469661780633032,0.0005811087321490049
16,0.0002865511632990092,0.0004038095357827842,0.0007429520483128726,0.0004216570232529193,0.0007502674707211554,0.00050399947213009,0.0009440117864869535,0.00043873832328245044,0.00020635539840441197,0.00024041802680585533,0.00018016964895650744,0.0007372096297331154,0.0004494496388360858,0.0007405366050079465,0.00048604875337332487,0.0009379336843267083,0.0004429157997947186,0.00017642340390011668,0.0005049693863838911,1e-04,0.00035840869531966746,0.0005107726901769638,0.0009620112250559032,0.0005857566720806062,0.000944683444686234,0.0006398630794137716,0.001063672243617475,0.0006338756065815687,0.0003359174297656864,0.00029529945459216833,0.0002590739750303328,0.0008205020567402244,0.0005447002477012575,0.0008397792698815465,0.0005827199202030897,0.0009687368292361498,0.0005655319546349347,0.00026421359507367015,0.000620862003415823
