epoch,loss,lr,val_loss
0,0.0005808176356367767,1e-04,0.0005547133041545749
1,0.0005593631649389863,1e-04,0.0005139288259670138
2,0.0005217730067670345,1e-04,0.000494356092531234
3,0.0005156676634214818,1e-04,0.00051183404866606
4,0.00049601960927248,1e-04,0.00046824448509141803
5,0.000497001688927412,1e-04,0.0004900452913716435
6,0.0004904025699943304,1e-04,0.0004883604706265032
7,0.00047751524834893644,1e-04,0.0004293644742574543
8,0.0004743883619084954,1e-04,0.0004807017685379833
9,0.00046122833737172186,1e-04,0.0004663923755288124
10,0.00045367013080976903,1e-04,0.00045901755220256746
11,0.00045373625471256673,1e-04,0.00040323930443264544
12,0.00045203647459857166,1e-04,0.00043244584230706096
13,0.00044986369903199375,1e-04,0.00044665642781183124
14,0.00044199664262123406,1e-04,0.00042462442070245743
15,0.0004270183271728456,1e-04,0.0004286383627913892
16,0.0004331590607762337,1e-04,0.0004532815364655107
17,0.0004176284128334373,5e-05,0.0004026040551252663
18,0.00040515087312087417,5e-05,0.0004239022673573345
19,0.00040289561729878187,5e-05,0.00040042735054157674
20,0.0003988762910012156,5e-05,0.00039053833461366594
21,0.00039443213609047234,5e-05,0.00041879224590957165
22,0.000386949279345572,5e-05,0.00041609792970120907
23,0.0003925934142898768,5e-05,0.00040273909689858556
24,0.00037310246261768043,5e-05,0.00039760785875841975
25,0.00036635916330851614,5e-05,0.00040045627974905074
26,0.0003581013879738748,2.5e-05,0.00036171285319142044
27,0.0003479621955193579,2.5e-05,0.00035564351128414273
28,0.00035032484447583556,2.5e-05,0.000389865948818624
29,0.0003459358122199774,2.5e-05,0.00036093240487389266
30,0.00033900729613378644,2.5e-05,0.00038398156175389886
31,0.00033411625190638006,2.5e-05,0.00037092092679813504
32,0.00033327791607007384,2.5e-05,0.0003661778464447707
33,0.0003225215768907219,1.25e-05,0.00035867129918187857
34,0.0003209646383766085,1.25e-05,0.0003386043244972825
35,0.00031725826556794345,1.25e-05,0.00037269762833602726
36,0.0003199747297912836,1.25e-05,0.0003482853062450886
37,0.00031783923623152077,1.25e-05,0.0003600034397095442
38,0.00031508036772720516,1.25e-05,0.00035165404551662505
39,0.00031387165654450655,1.25e-05,0.000347006949596107
40,0.00030971469823271036,6.25e-06,0.00035275763366371393
41,0.0003096302680205554,6.25e-06,0.0003693660837598145
42,0.0003020006697624922,6.25e-06,0.0003387568867765367
43,0.00030457135289907455,6.25e-06,0.000355086347553879
44,0.0003005215257871896,6.25e-06,0.0003209659771528095
45,0.000297030434012413,6.25e-06,0.00032002871739678085
46,0.0002966887259390205,6.25e-06,0.00035377603489905596
47,0.00029453140450641513,6.25e-06,0.00034483190393075347
48,0.00029483853722922504,6.25e-06,0.0003567118546925485
49,0.0002887546725105494,6.25e-06,0.00034376169787719846
50,0.00029029231518507004,3.125e-06,0.00035382359055802226
51,0.0002876593207474798,3.125e-06,0.0003445752081461251
52,0.00028619312797673047,3.125e-06,0.00033646071096882224
53,0.00029171124333515763,3.125e-06,0.00034468513331376016
54,0.00028611739980988204,3.125e-06,0.0003543281927704811
55,0.00028614982147701085,3.125e-06,0.0003721715766005218
