epoch,Abdomen,Head,LForeFoot,LForeLeg,LHindFoot,LHindLeg,LMidFoot,LMidLeg,LowerThorax,Neck,Petiole,RForeFoot,RForeLeg,RHindFoot,RHindLeg,RMidFoot,RMidLeg,UpperThorax,loss,lr,val_Abdomen,val_Head,val_LForeFoot,val_LForeLeg,val_LHindFoot,val_LHindLeg,val_LMidFoot,val_LMidLeg,val_LowerThorax,val_Neck,val_Petiole,val_RForeFoot,val_RForeLeg,val_RHindFoot,val_RHindLeg,val_RMidFoot,val_RMidLeg,val_UpperThorax,val_loss
0,0.0038461764343082905,0.0037122992798686028,0.003663802519440651,0.0036759430076926947,0.003852861700579524,0.0038573830388486385,0.0037901178002357483,0.003818156663328409,0.003502281615510583,0.0034959400072693825,0.0035460186190903187,0.0037154892925173044,0.0037311341147869825,0.003844177583232522,0.003857155330479145,0.0038153217174112797,0.0038574268110096455,0.0034576666075736284,0.003724407870322466,1e-04,0.003672533668577671,0.003578109433874488,0.0036805449053645134,0.0036749194841831923,0.0037168962880969048,0.003763652639463544,0.0038247203920036554,0.0037815638352185488,0.0031476609874516726,0.0033016360830515623,0.00336545892059803,0.003782618558034301,0.0035988292656838894,0.00385920237749815,0.003743960754945874,0.003853140864521265,0.0037709693424403667,0.0030584000051021576,0.003620823612436652
1,0.0035338331945240498,0.00316661037504673,0.0036888637114316225,0.003645737888291478,0.0038298596628010273,0.003756029298529029,0.003747744718566537,0.0037159596104174852,0.0029956798534840345,0.0030068978667259216,0.0031749538611620665,0.0036489388439804316,0.0036153614055365324,0.0038138674572110176,0.003748561954125762,0.0037970927078276873,0.0036936935503035784,0.0027310282457619905,0.0035172617062926292,1e-04,0.003236054675653577,0.002772710984572768,0.003816996468231082,0.0036779327783733606,0.003744742600247264,0.003673216560855508,0.003768151393160224,0.0036577051505446434,0.0027604831848293543,0.002603725763037801,0.0027347682043910027,0.003656849730759859,0.0035888799466192722,0.0037921026814728975,0.0036720456555485725,0.003829430090263486,0.003737486433237791,0.0023929651360958815,0.00339534692466259
2,0.0029163730796426535,0.00248868390917778,0.003660287009552121,0.0035574999637901783,0.003815918229520321,0.0036469849292188883,0.0037732378114014864,0.003635580651462078,0.0025084400549530983,0.002226277021691203,0.0024730958975851536,0.0036308427806943655,0.00356556149199605,0.0037921357434242964,0.003645100397989154,0.003739980049431324,0.00364623311907053,0.0020402378868311644,0.0032645813189446926,1e-04,0.002266187919303775,0.0022108592092990875,0.0036260797642171383,0.003470339346677065,0.0036558471620082855,0.0034427300561219454,0.0037639138754457235,0.003524064552038908,0.0019582940731197596,0.0017289196839556098,0.0021238261833786964,0.003719230415299535,0.003451865166425705,0.003745337715372443,0.0035515332128852606,0.003750599455088377,0.003624499076977372,0.0018097490537911654,0.0030791042372584343
3,0.0021801674738526344,0.002026319270953536,0.0036164540797472,0.0033705562818795443,0.00374409812502563,0.003465222893282771,0.0036946849431842566,0.003536117961630225,0.0019202486146241426,0.0015790049219503999,0.001797690987586975,0.003601539647206664,0.003423678455874324,0.003704580944031477,0.0034751829225569963,0.0036737227346748114,0.003550497815012932,0.0016128034330904484,0.002998475916683674,1e-04,0.001704575726762414,0.002085056621581316,0.003651001723483205,0.0033411940094083548,0.0035911204759031534,0.0032496871426701546,0.0037512914277613163,0.0034954657312482595,0.001566094346344471,0.0013890261761844158,0.0015603041974827647,0.0036336828488856554,0.003328703809529543,0.00360415899194777,0.00332861440256238,0.0036474037915468216,0.003516645636409521,0.0013699816772714257,0.0028785557951778173
4,0.001838632975704968,0.0017852793680503964,0.003549377666786313,0.0032043035607784986,0.003646180033683777,0.0031894685234874487,0.0036550306249409914,0.0034807398915290833,0.0015549396630376577,0.001372329075820744,0.0014772125286981463,0.003581027965992689,0.0032167918980121613,0.0036413150373846292,0.003208289621397853,0.0036456782836467028,0.003465489484369755,0.0014283532509580255,0.0028300241101533175,1e-04,0.001586111611686647,0.002127756830304861,0.003600980155169964,0.0030023064464330673,0.0035251339431852102,0.002850814489647746,0.003661690978333354,0.003409584518522024,0.0014580789720639586,0.0012931704986840487,0.0015267168637365103,0.0036202382761985064,0.0031012946274131536,0.0035800449550151825,0.003025919431820512,0.003688511671498418,0.003447122173383832,0.0010882518254220486,0.0027552072424441576
5,0.0016582983080297709,0.001589275780133903,0.0034922093618661165,0.0028805213514715433,0.0036299547646194696,0.0028174309991300106,0.0036279484629631042,0.003389800200238824,0.0013322755694389343,0.0011715003056451678,0.0012933654943481088,0.0035511190071702003,0.0029225375037640333,0.003594036912545562,0.0027450830675661564,0.003608779050409794,0.003392021870240569,0.001274534035474062,0.00266503868624568,1e-04,0.0013878258178010583,0.0015822271816432476,0.0034908743109554052,0.0027077344711869955,0.0035612310748547316,0.002475685440003872,0.003638687776401639,0.003396454267203808,0.0011556179961189628,0.0011898708762601018,0.0012711480958387256,0.0036242310889065266,0.002702622441574931,0.00346743525005877,0.002528337761759758,0.003681244095787406,0.0033520683646202087,0.0010306878248229623,0.002569110132753849
6,0.001505034975707531,0.0015146649675443769,0.0034668694715946913,0.0026033027097582817,0.0035773932468146086,0.00248778541572392,0.0036275649908930063,0.0033421276602894068,0.0012306459248065948,0.0011108627077192068,0.0012262206291779876,0.0035037104971706867,0.002596914069727063,0.0036005161236971617,0.0024058937560766935,0.0036058484110981226,0.0033054242376238108,0.0011658986331894994,0.002548704156652093,1e-04,0.0013814070262014866,0.0015136534348130226,0.0034938352182507515,0.00252698571421206,0.003535226220265031,0.002287585288286209,0.0036608597729355097,0.0032709839288145304,0.0010453752474859357,0.0012225364334881306,0.0010315623367205262,0.0036113441456109285,0.002387527609243989,0.003559670876711607,0.002350086346268654,0.0036152678076177835,0.0032887121196836233,0.0010396551806479692,0.002490126295015216
7,0.0014101029373705387,0.0013924696249887347,0.0034232495818287134,0.002299319254234433,0.003561093006283045,0.0022366768680512905,0.003573064925149083,0.003236242104321718,0.000998260686174035,0.0009673623135313392,0.0010200304677709937,0.0034432148095220327,0.0023460127413272858,0.0035237346310168505,0.002180601004511118,0.003576903371140361,0.0031621274538338184,0.0009776299120858312,0.00240711634978652,1e-04,0.0012727323919534683,0.0017769333207979798,0.0034621506929397583,0.002186641562730074,0.0036118165589869022,0.002076117554679513,0.003681279718875885,0.0031783930025994778,0.000963508035056293,0.0010646798182278872,0.0010589013108983636,0.003569802502170205,0.0024769750889390707,0.003575738752260804,0.0021838448010385036,0.0036683017387986183,0.0032274797558784485,0.000817231135442853,0.002436251612380147
8,0.0013434202410280704,0.0013878361787647009,0.0034290668554604053,0.0021820785477757454,0.0035540005192160606,0.002120280172675848,0.0035937002394348383,0.0031279672402888536,0.00098085543140769,0.0009832663927227259,0.0009928593644872308,0.0034374005626887083,0.002258651191368699,0.003474102122709155,0.002073122188448906,0.003565301652997732,0.003132440848276019,0.0009923061588779092,0.0023682587780058384,1e-04,0.0011495616054162383,0.0015759119996801019,0.003485453315079212,0.0021405366715043783,0.0033682200592011213,0.0022753828670829535,0.003571827197447419,0.003198945662006736,0.0009372122003696859,0.0009965754579752684,0.0009902880992740393,0.0034270412288606167,0.0021589004900306463,0.0033881599083542824,0.001973023172467947,0.0036665278021246195,0.0030452716164290905,0.0008387701818719506,0.0023437561467289925
9,0.0012588411336764693,0.0013478859327733517,0.003381590358912945,0.0020447405986487865,0.003433847101405263,0.001939441543072462,0.0035899498034268618,0.003050624392926693,0.0009341698023490608,0.0009959524031728506,0.0009766407310962677,0.0033873599022626877,0.0021324199624359608,0.003466225927695632,0.0020313672721385956,0.0035098001826554537,0.0030297988560050726,0.0009698728681541979,0.002304473426192999,1e-04,0.001167580601759255,0.0014523478457704186,0.0034664447885006666,0.0021230035927146673,0.003412308869883418,0.0021042032167315483,0.0035304557532072067,0.003086503827944398,0.0009855353273451328,0.0009895982220768929,0.001078056520782411,0.0034554481972008944,0.0021065883338451385,0.0035029470454901457,0.0019530687713995576,0.003622675547376275,0.0030749193392693996,0.0009963891934603453,0.002339337719604373
