video_path,video_width,video_height,frame_idx,instance_idx,part_name,predicted,x_pos,y_pos
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,2,RForeLeg,True,1132.34033203125,500.59893798828125
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,2,RForeFoot,True,1064.6531982421875,496.6285400390625
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,2,LMidLeg,True,1040.2783203125,488.591552734375
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,2,LMidFoot,True,1132.7181396484375,536.5150146484375
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,2,RMidLeg,True,1172.4947509765625,508.7193603515625
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,2,RMidFoot,True,1040.60693359375,555.65625
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,2,LHindLeg,True,1032.3619384765625,531.6911010742188
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,2,LHindFoot,True,1109.066650390625,591.920166015625
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,3,Head,True,1033.0650634765625,628.6903076171875
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,3,Neck,True,1016.0379638671875,604.4905395507812
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,3,UpperThorax,True,992.8948364257812,596.8557739257812
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,3,LowerThorax,True,980.3212280273438,596.842041015625
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,3,Petiole,True,965.021484375,592.837890625
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,3,Abdomen,True,928.0535888671875,585.031982421875
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,3,LForeLeg,True,1008.7678833007812,640.1918334960938
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,3,LForeFoot,True,1044.546630859375,596.191162109375
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,3,RForeLeg,True,1008.3016357421875,649.0745849609375
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,3,RForeFoot,True,1012.5447998046875,668.755859375
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,3,LMidLeg,True,1007.9714965820312,559.8815307617188
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,3,LMidFoot,True,996.9432373046875,652.9295654296875
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,3,RMidLeg,True,1012.0987548828125,668.5371704101562
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,3,RMidFoot,True,952.7403564453125,552.7064208984375
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,3,LHindLeg,True,929.1597290039062,544.857666015625
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,3,LHindFoot,True,920.0715942382812,612.5946044921875
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,3,RHindLeg,True,928.6679077148438,652.4346313476562
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,4,Head,True,1803.961669921875,552.25146484375
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,4,Neck,True,1801.1077880859375,577.0430297851562
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,4,UpperThorax,True,1800.7103271484375,604.6724243164062
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,4,LowerThorax,True,1800.4818115234375,623.9608154296875
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,4,Petiole,True,1796.805908203125,640.8788452148438
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,4,Abdomen,True,1792.486572265625,688.4391479492188
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,4,LForeLeg,True,1776.1929931640625,592.16455078125
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,4,LForeFoot,True,1780.149658203125,560.0626831054688
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,4,RForeLeg,True,1820.44140625,600.1550903320312
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,4,RForeFoot,True,1829.1026611328125,548.5660400390625
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,4,LMidLeg,True,1768.78271484375,612.8094482421875
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,4,LMidFoot,True,1708.8406982421875,596.864501953125
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,4,RMidLeg,True,1832.09521484375,624.2180786132812
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,4,RMidFoot,True,1876.48876953125,616.7850341796875
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,4,LHindLeg,True,1764.775390625,640.736572265625
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,4,LHindFoot,True,1704.444091796875,685.1739501953125
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,4,RHindLeg,True,1820.0994873046875,660.6055297851562
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,4,RHindFoot,True,1836.8909912109375,724.3306274414062
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,5,Head,True,1013.07373046875,833.1078491210938
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,5,Neck,True,1001.30126953125,808.1382446289062
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,5,UpperThorax,True,989.4789428710938,776.6507568359375
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,5,LowerThorax,True,980.7944946289062,760.2996215820312
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,5,Petiole,True,965.084228515625,745.0713500976562
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,5,Abdomen,True,932.2666015625,712.1092529296875
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,5,LForeLeg,True,1040.938720703125,788.5548706054688
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,5,LForeFoot,True,1060.80712890625,792.914794921875
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,5,RForeLeg,True,981.091552734375,812.955322265625
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,5,RForeFoot,True,1000.9628295898438,852.6878662109375
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,5,LMidLeg,True,1017.173828125,728.4476928710938
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,5,LMidFoot,True,1052.4063720703125,719.9564208984375
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,5,RMidLeg,True,953.2066040039062,800.2998046875
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,5,RMidFoot,True,964.217041015625,792.68994140625
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,5,LHindLeg,True,977.1559448242188,704.5382690429688
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,5,LHindFoot,True,1011.963134765625,648.3387451171875
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,5,RHindLeg,True,921.118408203125,768.9859619140625
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14000,5,RHindFoot,True,856.5232543945312,744.0399169921875
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14001,0,Head,True,1797.092529296875,468.14678955078125
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14001,0,Neck,True,1772.4459228515625,472.86724853515625
D:\Downloads\Ant videos\rescaled\Col218_cropped.mp4,1920,1080,14001,0,UpperThorax,True,1745.0789794921875,484.55218505859375
