epoch,loss,lr,val_loss
0,0.0009209908312186599,1e-04,0.000752612657379359
1,0.0007628401508554816,1e-04,0.0005655520362779498
2,0.0006341373082250357,1e-04,0.00046554216532967985
3,0.0005141122383065522,1e-04,0.00041955336928367615
4,0.0004311953962314874,1e-04,0.00041811648407019675
5,0.00040409661596640944,1e-04,0.00038935910561122
6,0.00036615171120502055,1e-04,0.00037733305362053216
7,0.0003265076084062457,1e-04,0.00040526408702135086
8,0.00032017650664784014,1e-04,0.00036128194187767804
9,0.00028434020350687206,1e-04,0.00039173575351014733
10,0.00024812037008814514,1e-04,0.00039487675530835986
11,0.00023617503757122904,1e-04,0.0003649916616268456
12,0.0002042979613179341,1e-04,0.00033213416463695467
13,0.0001774623669916764,1e-04,0.0003550057590473443
14,0.00016084550588857383,1e-04,0.00037225167034193873
15,0.00014988328621257097,1e-04,0.000348627392668277
16,0.00012424383021425456,1e-04,0.0003550685360096395
17,0.00010723176092142239,1e-04,0.00036697922041639686
18,7.92887803982012e-05,5e-05,0.00037795689422637224
19,6.596012826776132e-05,5e-05,0.00034199454239569604
20,6.217186455614865e-05,5e-05,0.00036178631125949323
21,6.133340502856299e-05,5e-05,0.0003869757056236267
22,5.5849191994639114e-05,5e-05,0.00034212280297651887
23,4.9125133955385536e-05,5e-05,0.000357168959453702
24,4.8276750021614134e-05,5e-05,0.0003999308100901544
25,3.9512862713309005e-05,2.5e-05,0.0004000722838100046
26,3.678912980831228e-05,2.5e-05,0.00038550456520169973
27,3.40423321176786e-05,2.5e-05,0.00038875642349012196
28,3.254926923546009e-05,2.5e-05,0.0003789439215324819
29,3.237647615605965e-05,2.5e-05,0.00035968792508356273
30,3.1403818866238e-05,2.5e-05,0.00038035301258787513
31,3.0290033464552835e-05,2.5e-05,0.00034780174610204995
32,2.6608673579175957e-05,1.25e-05,0.0003778784302994609
