epoch,loss,lr,val_loss
0,0.0009732664912007749,1e-04,0.0008378804777748883
1,0.0008978481055237353,1e-04,0.0007764295442029834
2,0.0008351042633876204,1e-04,0.0007200200343504548
3,0.0007976203924044967,1e-04,0.0006908074719831347
4,0.000776443281210959,1e-04,0.0006989132962189615
5,0.0007470516720786691,1e-04,0.0006803477881476283
6,0.0007243215222842991,1e-04,0.000660804973449558
7,0.0007151644094847143,1e-04,0.0006681256927549839
8,0.0006655468605458736,1e-04,0.0006891347002238035
9,0.0006336442311294377,1e-04,0.0006916670827195048
10,0.000600743864197284,1e-04,0.0006908600917086005
11,0.0005658948794007301,1e-04,0.000652720220386982
12,0.0005064777215011418,1e-04,0.0006585902883671224
13,0.00045354836038313806,1e-04,0.0006363666034303606
14,0.000422206474468112,1e-04,0.0005960044218227267
15,0.000377803691662848,1e-04,0.0007313310634344816
16,0.0003175513120368123,1e-04,0.000667467073071748
17,0.00028362320153973997,1e-04,0.0006659394130110741
18,0.0002465884026605636,1e-04,0.0007097172783687711
19,0.0002191488747484982,1e-04,0.0007118627545423806
20,0.00015483249444514513,5e-05,0.0006389945046976209
21,0.00013538463099393994,5e-05,0.0006785262376070023
22,0.000128978950669989,5e-05,0.0006936012650839984
23,0.00012031750520691276,5e-05,0.0006861798465251923
24,0.0001042307703755796,5e-05,0.0006554746069014072
25,9.891800436889753e-05,5e-05,0.0006859413697384298
26,9.320010576630011e-05,5e-05,0.0006453089881688356
27,7.999213266884908e-05,2.5e-05,0.000678034673910588
28,7.284074672497809e-05,2.5e-05,0.0006895109545439482
29,7.18168739695102e-05,2.5e-05,0.0007185405120253563
30,6.82010140735656e-05,2.5e-05,0.0007061727810651064
31,6.545119686052203e-05,2.5e-05,0.0006774848443455994
32,6.425649917218834e-05,2.5e-05,0.000650240748655051
33,6.03812477493193e-05,2.5e-05,0.0007167646544985473
34,5.63417597732041e-05,1.25e-05,0.0006519391899928451
