epoch,Abdomen,Head,LForeFoot,LForeLeg,LHindFoot,LHindLeg,LMidFoot,LMidLeg,LowerThorax,Neck,Petiole,RForeFoot,RForeLeg,RHindFoot,RHindLeg,RMidFoot,RMidLeg,UpperThorax,loss,lr,val_Abdomen,val_Head,val_LForeFoot,val_LForeLeg,val_LHindFoot,val_LHindLeg,val_LMidFoot,val_LMidLeg,val_LowerThorax,val_Neck,val_Petiole,val_RForeFoot,val_RForeLeg,val_RHindFoot,val_RHindLeg,val_RMidFoot,val_RMidLeg,val_UpperThorax,val_loss
0,0.0021978351287543774,0.0021723906975239515,0.002335750265046954,0.0022535615134984255,0.002332136733457446,0.002290884032845497,0.0024851160123944283,0.0022875028662383556,0.0018909837817773223,0.0020658320281654596,0.0018737704958766699,0.0022937743924558163,0.002206574659794569,0.0023135426454246044,0.0023011816665530205,0.002441591117531061,0.0022952035069465637,0.0019612042233347893,0.002222158247604966,1e-04,0.0015357941156253219,0.0012815493391826749,0.0023564021103084087,0.0019335801480337977,0.002264140173792839,0.001919786212965846,0.002438813215121627,0.0019185278797522187,0.0007763958419673145,0.0009293265757150948,0.0007420547190122306,0.002358203986659646,0.00178791512735188,0.002265102230012417,0.0019054136937484145,0.0023986196611076593,0.001849156222306192,0.0009496190468780696,0.0017561331624165177
1,0.000915891258046031,0.0007641250267624855,0.00214075343683362,0.0015490370569750667,0.0021804855205118656,0.0014652007957920432,0.002301584929227829,0.0016769004287198186,0.0004688703629653901,0.0005210420349612832,0.0003763364511542022,0.002136713359504938,0.0014681234024465084,0.0021651326678693295,0.0014900848036631942,0.002233307110145688,0.0015988117083907127,0.0006043193861842155,0.0014475956559181213,1e-04,0.0005947693134658039,0.0004934873431921005,0.0021494964603334665,0.0013241275446489453,0.002150945132598281,0.0011661574244499207,0.0022964829113334417,0.0015604570508003235,0.000361674465239048,0.00022148388961795717,0.00026691716630011797,0.0021327559370547533,0.0012023159069940448,0.002042272826656699,0.0010692105861380696,0.0021541756577789783,0.0012914194958284497,0.0004091370210517198,0.0012715159682556987
2,0.000424188154283911,0.00033527828054502606,0.001965784700587392,0.0010755780385807157,0.001907451543956995,0.0009895347757264972,0.0020499422680586576,0.001281190779991448,0.0002454617933835834,0.00022742348664905876,0.0002158467104891315,0.0019478630274534225,0.001072338898666203,0.0018678703345358372,0.0008866713033057749,0.0019494789885357022,0.0011561275459825993,0.0003060238959733397,0.0011057804804295301,1e-04,0.000363048049621284,0.00026859031640924513,0.0018192348070442677,0.0009606328676454723,0.0017445457633584738,0.0006934142438694835,0.002007617149502039,0.0010839757742360234,0.0002188869984820485,0.00018508719222154468,0.00020274630514904857,0.0019522166112437844,0.0010959752835333347,0.0017626358894631267,0.0005969044868834317,0.001822472782805562,0.0010412433184683323,0.00032301057945005596,0.0010079022031277418
3,0.00030279881320893764,0.00025062699569389224,0.0018030087230727077,0.0007879727054387331,0.001610207837074995,0.0006814348162151873,0.0017662312602624297,0.000934360024984926,0.0001831420959206298,0.0001772229588823393,0.00018416604143567383,0.0017194802640005946,0.0008159744902513921,0.0015016861725598574,0.0006311321048997343,0.0015605062944814563,0.0008427486172877252,0.00022790451475884765,0.0008878115331754088,1e-04,0.0002542247821111232,0.00028377267881296575,0.0017736837035045028,0.0007614511996507645,0.0015563536435365677,0.0005685815121978521,0.0018195926677435637,0.0008265562355518341,0.00017184233001898974,0.0001533562026452273,0.00018354241910856217,0.001630899147130549,0.0007956430781632662,0.0014966910239309072,0.0004481652576941997,0.0016045055817812681,0.000663436425384134,0.00020833394955843687,0.000844479538500309
4,0.00022552444715984166,0.00021959980949759483,0.0015660218195989728,0.0006458409479819238,0.001252251211553812,0.0005279030883684754,0.0013405120698735118,0.0007149402517825365,0.0001626670127734542,0.0001454641460441053,0.00016174900520127267,0.0013994951732456684,0.0006662223022431135,0.0012200153432786465,0.000522028305567801,0.0011574361706152558,0.0006394858355633914,0.00018204972730018198,0.0007082894444465637,1e-04,0.00021533692779485136,0.00022686163720209152,0.0013847829541191459,0.0007119705551303923,0.0011363570811226964,0.0004228894831612706,0.0011899423552677035,0.0006298566586337984,0.00021356319484766573,0.0001270278444280848,0.0001885506062535569,0.0014483191771432757,0.0008298029424622655,0.0012754998169839382,0.0004696525284089148,0.0012040355941280723,0.0007811925024725497,0.0002086606400553137,0.0007035724120214581
5,0.00018048998026642948,0.00018710829317569733,0.001232143142260611,0.0005207217182032764,0.000809001037850976,0.00039320767973549664,0.0009476481936872005,0.0005692954291589558,0.000145897880429402,0.00012349443568382412,0.0001338432775810361,0.0010098511120304465,0.0005324198864400387,0.0008032432524487376,0.00041625212179496884,0.0008280305773951113,0.0005024375859647989,0.0001561098179081455,0.000527288531884551,1e-04,0.00021320283121895045,0.00023039485677145422,0.001330794533714652,0.0007768056239001453,0.0008779352647252381,0.00035220093559473753,0.0011957563692703843,0.000587850867304951,0.00021276860206853598,0.00010590689635137096,0.00015422844444401562,0.0013678696705028415,0.0008755368762649596,0.0008918389794416726,0.0004287793126422912,0.0010920902714133263,0.0005849959561601281,0.0001893958105938509,0.0006371306953951716
6,0.00015555944992229342,0.0001502032537246123,0.0009552603587508202,0.00044103164691478014,0.000578844454139471,0.00031977726030163467,0.0006938899750821292,0.0004394884454086423,0.00012046345364069566,0.00010261619172524661,0.00011048431042581797,0.0007782714092172682,0.0004355339042376727,0.000573866767808795,0.00034817412961274385,0.0006010343786329031,0.00038543593836948276,0.0001282527664443478,0.00040656595956534147,1e-04,0.00014989398187026381,0.00016697497630957514,0.0011340627679601312,0.0006223211530596018,0.0006209705024957657,0.00029510827152989805,0.0008258930174633861,0.000551288016140461,0.00012978551967535168,0.00011659715528367087,0.0001305623009102419,0.0011035463539883494,0.0005386777920648456,0.0007796785794198513,0.000412963010603562,0.0006674965261481702,0.00048116312245838344,0.00012766534928232431,0.0004919248749502003
7,0.00012044888717355207,0.00012357061496004462,0.0007236934616230428,0.0003492198884487152,0.0004225874727126211,0.0002550235949456692,0.0005229205708019435,0.00035674055106937885,0.00010426660446682945,8.557218825444579e-05,9.548954403726384e-05,0.0006035456899553537,0.0003488300717435777,0.0004363667976576835,0.000254113256232813,0.0004723793244920671,0.00029889127472415566,0.00011436548084020615,0.0003160014748573303,1e-04,0.0001632327475817874,0.00017827030387707055,0.0010877926833927631,0.0007055711466819048,0.0006141270278021693,0.00027575556305237114,0.0010499991476535797,0.0005582547164522111,0.00012153205170761794,8.774779416853562e-05,0.00012448622146621346,0.0011957583483308554,0.0007463301299139857,0.0007178256055340171,0.0002624823828227818,0.0007456392631866038,0.00048660108586773276,0.00011760510824387893,0.0005132784135639668
8,0.00010582237155176699,0.00010038104664999992,0.0005783180240541697,0.00028596780612133443,0.00034837020211853087,0.00020998531545046717,0.0004000783956144005,0.0002770267892628908,8.716583397472277e-05,7.445989467669278e-05,8.029729360714555e-05,0.00044870589044876397,0.00028246192960068583,0.00031461750040762126,0.00020694478007499129,0.0003658540081232786,0.00024213615688495338,9.763940033735707e-05,0.00025034623104147613,1e-04,0.00014691961405333132,0.00016103344387374818,0.0010227053426206112,0.0006873540114611387,0.0005513536743819714,0.00038579318788833916,0.0007766852504573762,0.0004794076085090637,0.00011153655941598117,8.368350972887129e-05,0.00010202083649346605,0.0010104874381795526,0.0004625003202818334,0.000759806134738028,0.0002168051287299022,0.0007473932346329093,0.00032286642817780375,9.352206689072773e-05,0.00045121522271074355
9,9.673758177086711e-05,9.24011183087714e-05,0.0004364560008980334,0.0002264991489937529,0.00025836395798251033,0.00016669047181494534,0.00030974706169217825,0.00022971183352638036,7.375403220066801e-05,6.604597729165107e-05,7.17167422408238e-05,0.00037775273085571826,0.00023608736228197813,0.0002503054274711758,0.0001656147069297731,0.0003017190610989928,0.00018565233040135354,8.294919098261744e-05,0.00020156688697170466,1e-04,9.162365313386545e-05,0.00011154302046634257,0.0009417938999831676,0.00044111485476605594,0.0004727971972897649,0.0002333528536837548,0.0006608585827052593,0.00031583168311044574,9.20140664675273e-05,6.652087904512882e-05,9.521692845737562e-05,0.0009787784656509757,0.0005704185459762812,0.000474383617984131,0.00019965824321843684,0.0005800285725854337,0.0002419568772893399,9.43136474234052e-05,0.00037012252141721547
