epoch,MultiInstanceConfmapsHead_loss,PartAffinityFieldsHead_loss,loss,lr,val_MultiInstanceConfmapsHead_loss,val_PartAffinityFieldsHead_loss,val_loss
0,0.0027068019844591618,0.0024255909956991673,0.005132391583174467,1e-04,0.003079779911786318,0.0028064590878784657,0.005886239930987358
1,0.002550726756453514,0.0023679037112742662,0.004918628837913275,1e-04,0.0028581414371728897,0.0026629017665982246,0.005521043669432402
2,0.002481440082192421,0.0023169582709670067,0.004798398818820715,1e-04,0.002756343223154545,0.002587085124105215,0.005343427415937185
3,0.002351609291508794,0.0022096976172178984,0.004561310168355703,1e-04,0.0026360952761024237,0.0024925610050559044,0.005128655582666397
4,0.0022690584883093834,0.00215819850564003,0.004427256993949413,1e-04,0.0024052541702985764,0.0022827740758657455,0.004688028711825609
5,0.002068254863843322,0.001970544457435608,0.004038799554109573,1e-04,0.0021397212985903025,0.0020213620737195015,0.00416108313947916
6,0.001978151733055711,0.001852123998105526,0.0038302745670080185,1e-04,0.0020971670746803284,0.0019577795173972845,0.004054946359246969
7,0.001868085004389286,0.0017543582944199443,0.003622442716732621,1e-04,0.0019400151213631034,0.001818966818973422,0.0037589818239212036
8,0.001784152234904468,0.001673710299655795,0.003457861952483654,1e-04,0.0019439312163740396,0.0018206199165433645,0.003764551365748048
9,0.0017162651056423783,0.0016176089411601424,0.0033338742796331644,1e-04,0.0018818214302882552,0.0017481150571256876,0.0036299366038292646
10,0.0016775158001109958,0.001580890384502709,0.0032584064174443483,1e-04,0.0019429727690294385,0.0017858834471553564,0.0037288565654307604
11,0.0016213624039664865,0.0015326872235164046,0.003154050325974822,1e-04,0.001821765094064176,0.0017069230088964105,0.003528687870129943
12,0.0015586810186505318,0.0014846156118437648,0.0030432960484176874,1e-04,0.0018023401498794556,0.0016888041282072663,0.003491144860163331
13,0.0015213522128760815,0.001446448964998126,0.0029678011778742075,1e-04,0.00185185216832906,0.001721925800666213,0.003573778085410595
14,0.001504155807197094,0.0014385224785655737,0.0029426782857626677,1e-04,0.0017984332516789436,0.0016783596947789192,0.0034767924807965755
15,0.0014022323302924633,0.0013558226637542248,0.002758054994046688,1e-04,0.0018771544564515352,0.00172568263951689,0.00360283674672246
16,0.0013641850091516972,0.0013226792216300964,0.0026868637651205063,1e-04,0.0018251524306833744,0.001693143043667078,0.0035182954743504524
17,0.001282312092371285,0.0012599651236087084,0.002542278729379177,1e-04,0.001729951472952962,0.0016244875732809305,0.0033544390462338924
18,0.0012231242144480348,0.0012113278498873115,0.0024344532284885645,1e-04,0.0018824652070179582,0.0017141017597168684,0.0035965668503195047
19,0.0011557936668395996,0.001150605850853026,0.0023063996341079473,1e-04,0.001830452703870833,0.0016853041015565395,0.003515757154673338
20,0.0011241097236052155,0.0011218104045838118,0.0022459214087575674,1e-04,0.0018135185819119215,0.0016577393980696797,0.003471258096396923
21,0.0009999858448281884,0.001019405317492783,0.002019390696659684,1e-04,0.001856833929196,0.0016968774143606424,0.0035537108778953552
22,0.0010098161874338984,0.001021506846882403,0.0020313228014856577,1e-04,0.0019138151546940207,0.0017195085529237986,0.0036333235912024975
23,0.0008607139461673796,0.0009051123051904142,0.0017658264841884375,5e-05,0.001792713301256299,0.0016353486571460962,0.0034280624240636826
24,0.0008172209491021931,0.0008700304315425456,0.0016872514970600605,5e-05,0.0018293631728738546,0.0016693465877324343,0.0034987092949450016
25,0.0007836685399524868,0.0008430186426267028,0.0016266867751255631,5e-05,0.0017778626643121243,0.0016161258099600673,0.003393988125026226
26,0.0007177943480201066,0.00078461819794029,0.001502412836998701,5e-05,0.0018120692111551762,0.00163907406385988,0.003451143391430378
27,0.0007287478656508029,0.0008000511443242431,0.0015287984861060977,5e-05,0.0018477074336260557,0.001665454008616507,0.0035131617914885283
